,Bairro,latitude,longitude,casos
0,aflitos,-8.03921,-34.89648,2
1,afogados,-8.07733,-34.90647,3
2,agua fria,-8.01697,-34.89823,0
3,alto do mandu,-8.02252,-34.9281,0
4,alto jose bonifacio,-8.01299,-34.91279,0
5,alto jose do pinho,-8.021410000000001,-34.90814,0
6,alto sta terezinha,-8.01548,-34.908359999999995,0
7,apipucos,-8.01902,-34.93813,5
8,areias,-8.09423,-34.92781,1
9,arruda,-8.02508,-34.89132,1
10,barro,-8.09533,-34.95008,4
11,beberibe,-8.00485,-34.89718,0
12,boa viagem,-8.123510000000001,-34.90339,56
13,boa vista,-8.061760000000001,-34.88729,11
14,bomba do hemeterio,-8.021510000000001,-34.90165,0
15,bongi,-8.06597,-34.92159,0
16,brasilia teimosa,-8.08278,-34.87895,0
17,brejo da guabiraba,-7.991910000000001,-34.931979999999996,0
18,brejo de beberibe,-7.9983699999999995,-34.92431,0
19,cabanga,-8.07981,-34.89756,0
20,cacote,-8.10106,-34.93269,0
21,cajueiro,-8.0121,-34.885659999999994,1
22,campina do barreto,-8.01653,-34.88203,0
23,campo grande,-8.03165,-34.87938,1
24,casa amarela,-8.02466,-34.91772,8
25,casa forte,-8.03381,-34.918279999999996,8
26,caxanga,-8.030389999999999,-34.94912,0
27,cidade universitaria,-8.05442,-34.95163,0
28,coelhos,-8.066980000000001,-34.88854,0
29,cohab,-8.12438,-34.953359999999996,7
30,coqueiral,-8.087860000000001,-34.96823,0
31,cordeiro,-8.05114,-34.928509999999996,11
32,corrego do jenipapo,-8.00644,-34.93592,0
33,curado,-8.06813,-34.961859999999994,4
34,derby,-8.05781,-34.89901,1
35,dois irmaos,-8.004380000000001,-34.95283,0
36,dois unidos,-7.993189999999999,-34.910759999999996,4
37,encruzilhada,-8.03675,-34.890840000000004,6
38,engenho do meio,-8.05662,-34.94239,1
39,espinheiro,-8.0429,-34.89125,16
40,estancia,-8.0864,-34.92908,0
41,fundao,-8.0149,-34.890390000000004,0
42,gracas,-8.04556,-34.90072,0
43,guabiraba,-7.953289999999999,-34.95374,2
44,hipodromo,-8.032580000000001,-34.88711,0
45,ibura,-8.12236,-34.932140000000004,0
46,ilha do leite,-8.065710000000001,-34.89418,3
47,ilha do retiro,-8.06375,-34.9038,1
48,ilha joana bezerra,-8.06975,-34.8988,1
49,imbiribeira,-8.102839999999999,-34.91086,11
50,ipsep,-8.11023,-34.9199,0
51,iputinga,-8.03983,-34.93734,6
52,jaqueira,-8.036,-34.9026,0
53,jardim sao paulo,-8.0808,-34.94206,0
54,jiquia,-8.0851,-34.92306,0
55,jordao,-8.1332,-34.94005,0
56,linha do tiro,-8.00967,-34.90527,1
57,macaxeira,-8.0119,-34.93115,1
58,madalena,-8.05377,-34.90835,15
59,mangabeira,-8.0244,-34.90296,0
60,mangueira,-8.07673,-34.92049,3
61,monteiro,-8.02634,-34.928779999999996,3
62,morro da conceicao,-8.01929,-34.91449,0
63,mustardinha,-8.07236,-34.91851,0
64,nova descoberta,-8.00044,-34.9304,7
65,paissandu,-8.06284,-34.89875,0
66,parnamirim,-8.0339,-34.910379999999996,10
67,passarinho,-7.98182,-34.923159999999996,2
68,pau ferro,-7.96679,-34.97466,0
69,peixinhos,-8.018180000000001,-34.8769,0
70,pina,-8.09633,-34.894659999999995,2
71,poco,-8.03514,-34.923840000000006,0
72,ponto de parada,-8.029710000000001,-34.89308,0
73,porto da madeira,-8.00704,-34.888329999999996,2
74,prado,-8.0599,-34.9139,0
75,recife,-8.05669,-34.870870000000004,1
76,rosarinho,-8.03225,-34.89784,6
77,san martin,-8.0702,-34.92879,8
78,sancho,-8.08455,-34.9617,1
79,santana,-8.0392,-34.91598,3
80,santo amaro,-8.050939999999999,-34.881440000000005,11
81,santo antonio,-8.0647,-34.877959999999995,0
82,sao jose,-8.07042,-34.88082,0
83,sitio dos pintos,-8.01111,-34.95857,0
84,soledade,-8.05599,-34.890570000000004,0
85,tamarineira,-8.0325,-34.90102,8
86,tejipio,-8.08694,-34.95511,0
87,torre,-8.04252,-34.90746,16
88,torreao,-8.04031,-34.88391,0
89,torroes,-8.06035,-34.93627,0
90,toto,-8.08192,-34.96895,0
91,varzea,-8.04503,-34.96917,0
92,vasco da gama,-8.01178,-34.919059999999995,6
93,zumbi,-8.05363,-34.91806,2
